Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2007,1,1,1,1232,1225,1341,1340,WN,2891,N351,69,75,54,1,7,SMF,ONT,389,4,11,0,,0,0,0,0,0,0
2007,1,1,1,1918,1905,2043,2035,WN,462,N370,85,90,74,8,13,SMF,PDX,479,5,6,0,,0,0,0,0,0,0
2007,1,1,1,2206,2130,2334,2300,WN,1229,N685,88,90,73,34,36,SMF,PDX,479,6,9,0,,0,3,0,0,0,31
2007,1,1,1,1230,1200,1356,1330,WN,1355,N364,86,90,75,26,30,SMF,PDX,479,3,8,0,,0,23,0,0,0,3
2007,1,1,1,831,830,957,1000,WN,2278,N480,86,90,74,-3,1,SMF,PDX,479,3,9,0,,0,0,0,0,0,0
2007,1,1,1,1430,1420,1553,1550,WN,2386,N611SW,83,90,74,3,10,SMF,PDX,479,2,7,0,,0,0,0,0,0,0
2007,1,1,1,1936,1840,2217,2130,WN,409,N482,101,110,89,47,56,SMF,PHX,647,5,7,0,,0,46,0,0,0,1
2007,1,5,5,1908,1910,2013,2024,XE,2389,N13970,65,74,49,-11,-2,CLE,SYR,317,6,10,0,,0,0,0,0,0,0
2007,1,11,4,1653,1645,1756,1804,XE,2471,N21537,63,79,41,-8,8,CRP,IAH,201,7,15,0,,0,0,0,0,0,0
2007,1,17,3,558,600,805,800,XE,2844,N27962,187,180,154,5,-2,DAY,IAH,929,13,20,0,,0,0,0,0,0,0
2007,1,30,2,1656,1615,1814,1742,XE,2740,N14938,78,87,62,32,41,EWR,RIC,278,4,12,0,,0,0,0,0,0,32
2007,1,1,1,908,905,1111,1114,XE,2625,N14907,183,189,149,-3,3,EWR,BHM,850,6,28,0,,0,0,0,0,0,0
2007,1,3,3,730,730,944,943,XE,2755,N13958,134,133,106,1,0,STL,IAH,668,9,19,0,,0,0,0,0,0,0
2007,1,21,7,951,955,1123,1141,XE,2983,N16501,92,106,74,-18,-4,HPN,CLE,425,6,12,0,,0,0,0,0,0,0
2007,1,16,2,1722,1707,1837,1809,XE,2299,N15941,75,62,47,28,15,SHV,IAH,192,18,10,0,,0,1,0,13,0,14
2007,1,23,2,1125,1130,1213,1219,XE,2311,N15932,48,49,30,-6,-5,LCH,IAH,127,11,7,0,,0,0,0,0,0,0
2007,1,18,4,1901,1835,2026,2005,XE,2202,N11164,85,90,62,21,26,IAH,MEM,469,5,18,0,,0,21,0,0,0,0
